Name,ID,Bundesland,VAP,Total votes,Number of valid erst stimmen,Number of valid zweit stimmen,Turnout,CDU Erst stimmen,CDU Zweit stimmen,CDU % Erst stimmen,CDU % Zweit stimmen,SPD Erst stimmen,SPD Zweit stimmen,SPD % Erst stimmen,SPD % Zweit stimmen,Linke Erst stimmen,Linke Zweit stimmen,Linke % Erst stimmen,Linke % Zweit stimmen,Grüne Erst stimmen,Grüne Zweit stimmen,Grüne % Erst stimmen,Grüne % Zweit stimmen,CSU Erst stimmen,CSU Zweit stimmen,CSU % Erst stimmen,CSU % Zweit stimmen,FDP Erst stimmen,FDP Zweit stimmen,FDP % Erst stimmen,FDP % Zweit stimmen,AfD Erst stimmen,AfD Zweit stimmen,AfD % Erst stimmen,AfD % Zweit stimmen,Other Erst stimmen,Other Zweit stimmen,Other % Erst stimmen,Other % Zweit stimmen
Sachsen (SN),,,3253478,2489022,2459456,2462748,0.7650342188,546250,422860,0.2221019608,0.1717025047,410742,474781,0.1670052239,0.1927850515,282797,229993,0.1149835573,0.09338876734,171353,212288,0.069671098,0.08619964365,,,,,220055,271149,0.08947303794,0.1101001808,632875,607036,0.2573231641,0.2464872573,195384,244641,0.0794419579,0.09933659473
Hessen (HE),,,4382894,3340410,3295139,3300095,0.762147111,908916,753360,0.2758354048,0.2282843373,999902,909874,0.3034475936,0.2757114568,130430,142573,0.03958254872,0.04320269568,480475,521355,0.1458132722,0.1579818157,,,,,315636,421523,0.0957883719,0.1277305653,285264,290844,0.0865711583,0.08813200832,174516,260566,0.05296165048,0.07895712093
Thüringen (TH),,,1707797,1279823,1263038,1264876,0.749399958,264026,213413,0.2090404248,0.1687224677,299005,296429,0.2367347617,0.2343541976,155617,144676,0.1232084862,0.1143795914,68159,83218,0.05396433045,0.06579142936,,,,,89006,114286,0.07046977209,0.09035352082,298970,303224,0.2367070508,0.2397262657,88255,109630,0.06987517399,0.08667252758
Rheinland-Pfalz (RP),,,3053131,2356852,2325298,2333736,0.7719459139,686675,576425,0.295306236,0.2469966611,697042,685361,0.2997645893,0.2936754629,84090,76074,0.03616310684,0.03259751746,247322,293232,0.1063614212,0.1256491737,,,,,193388,272457,0.08316697473,0.1167471385,205622,215032,0.08842823586,0.09214067058,211159,215155,0.09080943604,0.09219337577
Bayern (BY),,,9531170,7609740,7552524,7570883,0.7984056522,,,,,1316165,1361126,0.1742682314,0.1797843131,187518,210963,0.0248285209,0.0278650456,1023653,1067642,0.1355378679,0.1410194821,2787904,2402826,0.3691354043,0.3173772465,579759,798581,0.07676360909,0.1054805628,634052,679986,0.0839523317,0.08981594353,1023473,1049759,0.1355140348,0.1386574063
Baden-Württemberg (BW),,,7710448,5995964,5940645,5947556,0.7776414548,1766591,1477080,0.2973736017,0.2483507511,1247015,1287538,0.2099123917,0.2164818625,175686,196869,0.02957355641,0.03310082326,1057994,1021837,0.1780941295,0.1718078821,,,,,711489,907692,0.119766288,0.1526159653,560905,571162,0.0944181987,0.09603305963,420965,485378,0.07086183403,0.08160965613
Saarland (SL),,,755223,583998,573075,573631,0.7732788858,159318,135134,0.2780054967,0.2355765292,208323,213767,0.3635178642,0.3726559408,30208,41123,0.0527121232,0.07168894289,31080,,0.05423373904,,,,,,46794,65939,0.08165423374,0.1149502032,56228,57621,0.0981163024,0.1004495922,41124,60047,0.07176024081,0.1046787918
Flensburg - Schleswig,1,SH,231536,180150,178571,178575,0.7780647502,41721,36417,0.2336381607,0.2039311214,38932,45508,0.2180197232,0.2548397032,6539,7473,0.03661848788,0.04184796304,50231,33299,0.2812942751,0.1864706706,,,,,12298,19188,0.06886896529,0.107450651,9766,10315,0.05468973126,0.05776284474,19084,26375,0.1068706565,0.1476970461
Nordfriesland - Dithmarschen Nord,2,SH,188352,145439,144091,144176,0.7721659446,43771,35518,0.3037733099,0.2463516813,40034,37939,0.2778383105,0.2631436578,4059,4439,0.02816969832,0.03078875818,20615,22595,0.1430693104,0.1567181778,,,,,13963,18350,0.09690403981,0.1272749972,8270,8796,0.05739428556,0.06100876706,13379,16539,0.09285104552,0.1147139607
Steinburg - Dithmarschen Süd,3,SH,176900,136386,134951,135119,0.7709779536,39434,32843,0.292209765,0.2430672222,39364,37466,0.2916910582,0.2772815074,4339,4524,0.03215241088,0.0334815977,16685,19241,0.1236374684,0.1424004026,,,,,19303,18499,0.1430371024,0.1369089469,10429,11304,0.07727990159,0.08365958895,5397,11242,0.0399922935,0.08320073417
Rendsburg-Eckernförde,4,SH,202223,162078,160658,160965,0.8014815328,47697,38527,0.2968853092,0.2393501693,49477,43149,0.307964745,0.2680644861,4415,5163,0.02748073548,0.03207529587,23831,28828,0.1483337275,0.1790948343,,,,,12900,19317,0.08029478769,0.120007455,10197,10562,0.06347022868,0.06561674898,12141,15419,0.07557046646,0.09579101047
Kiel,5,SH,202482,156207,155030,155256,0.7714611669,28341,23867,0.1828097788,0.1537267481,45767,40354,0.2952138296,0.2599191014,7316,9448,0.04719086628,0.06085433091,43560,44124,0.2809778752,0.2842015768,,,,,11499,16168,0.07417274076,0.1041376823,7179,7676,0.04630716635,0.04944092338,11368,13619,0.07332774302,0.08771963724
Plön - Neumünster,6,SH,174908,133727,131961,132529,0.7645562238,36869,30290,0.279393154,0.2285537505,41498,38672,0.3144717,0.2918002852,3718,4233,0.0281749911,0.03194017913,20739,23052,0.15716007,0.1739392888,,,,,12420,15902,0.09411871689,0.1199888326,9404,9741,0.07126347936,0.07350089414,7313,10639,0.05541788862,0.08027676961
Pinneberg,7,SH,231574,188940,187503,187712,0.8158947032,48888,41347,0.2607318283,0.2202682833,58644,55057,0.3127629958,0.2933057024,5602,6292,0.0298768553,0.03351943403,31750,33917,0.169330624,0.1806863706,,,,,20464,25321,0.1091395871,0.1348928145,11934,12845,0.06364698165,0.06842929594,10221,12933,0.05451112782,0.06889809922
Segeberg - Stormarn-Mitte,8,SH,249215,199617,197912,198264,0.8009830869,55264,44284,0.2792352157,0.223358754,63369,56659,0.3201877602,0.2857755316,6205,6468,0.0313523182,0.03262316911,27109,33361,0.1369750192,0.1682655449,,,,,20575,27675,0.103960346,0.1395866118,14039,14527,0.07093556732,0.07327099221,11351,15290,0.05735377339,0.07711939636
Ostholstein - Stormarn-Nord,9,SH,183139,143109,141793,141962,0.7814228537,42989,35564,0.3031813982,0.2505177442,47718,42522,0.3365328331,0.2995308604,4122,4031,0.0290705465,0.02839492258,19027,22315,0.1341885707,0.1571899522,,,,,13288,17986,0.09371407615,0.1266958764,9646,10073,0.06802874613,0.07095560784,5003,9471,0.03528382924,0.06671503642
Herzogtum Lauenburg - Stormarn-Süd,10,SH,245649,196885,195291,195557,0.8014891166,51838,45372,0.2654397796, ,60592,56417,0.310265194,0.2884938918,5167,6328,0.02645795249,0.03235885189,33953,32475,0.1738584983,0.1660641143,,,,,20546,27692,0.1052071012,0.1416057722,14053,14684,0.07195928128,0.07508808174,9142,12589,0.04681219309,0.06437509268
Lübeck,11,SH,164139,118807,117356,117671,0.7238194457,24960,20757,0.2126861856,0.1763986029,40376,36136,0.3440471727,0.3070935065,3709,5360,0.03160469,0.04555073043,25882,27112,0.2205426224,0.2304051126,,,,,8341,11963,0.07107433791,0.1016648112,7551,7807,0.0643426838,0.06634599859,6537,8536,0.05570230751,0.07254123786
Schwerin - Ludwigslust-Parchim I - Nordwestmecklenburg I,12,MV,214872,156337,153387,153941,0.7275820023,31721,26403,0.2068037057,0.1715137618,45107,49269,0.2940731614,0.3200511884,17877,16552,0.1165483385,0.1075217129,12034,12375,0.07845514939,0.08038794083,,,,,11755,13154,0.0766362208,0.08544832111,25380,24179,0.1654638268,0.1570666684,9513,12009,0.06201959749,0.07801040658
Ludwigslust-Parchim II - Nordwestmecklenburg II - Landkreis Rostock I,13,MV,204636,146338,144017,144083,0.7151136652,26209,24623,0.18198546,0.1708945538,50705,46844,0.352076491,0.3251181611,14949,14973,0.1038002458,0.1039192688,8163,10146,0.05668080852,0.07041774533,,,,,10322,11629,0.07167209427,0.08071042385,24760,24670,0.1719241478,0.1712207547,8909,11198,0.06186075255,0.07771909247
Rostock - Landkreis Rostock II,14,MV,222601,165321,163019,162983,0.7426786043,27666,23106,0.1697102792,0.141769387,43935,47281,0.2695084622,0.2900977403,29714,21490,0.182273232,0.1318542425,16556,20942,0.101558714,0.1284919286,,,,,12242,14857,0.07509554101,0.09115674641,19885,20660,0.1219796465,0.1267616868,13021,14647,0.0798741251,0.08986826847
Vorpommern-Rügen - Vorpommern-Greifswald I,15,MV,240703,168928,166161,165788,0.7018109454,33898,30911,0.2040069571,0.1864489589,40426,41582,0.2432941545,0.250814293,22767,18856,0.1370177117,0.1137356142,12197,14654,0.07340470989,0.08838999204,,,,,11015,13775,0.06629112728,0.08308804015,33034,31314,0.198807181,0.1888797742,12824,14696,0.07717815853,0.08864332762
Mecklenburgische Seenplatte I - Vorpommern-Greifswald II,16,MV,221069,154256,150674,151033,0.6977730935,31182,28684,0.2069501042,0.1899187595,37395,40337,0.2481848229,0.2670740831,16200,15367,0.1075168908,0.101745976,6112,6619,0.04056439731,0.04382485947,,,,,11168,11438,0.07412028618,0.07573179371,36599,35102,0.2429018942,0.232412784,12018,13486,0.07976160452,0.08929174419
Mecklenburgische Seenplatte II - Landkreis Rostock III,17,MV,208187,143860,140651,140846,0.6910133678,29949,26407,0.212931298,0.1874884626,43740,42068,0.3109825028,0.2986808287,14498,14437,0.1030778309,0.1025020235,7585,7186,0.05392780713,0.05102026327,,,,,9824,10607,0.06984664169,0.07530920296,30346,29443,0.2157538873,0.2090439203,4709,10698,0.03348003214,0.0759552987
Hamburg-Mitte,18,HH,242089,179509,178025,178331,0.7415000268,23241,19964,0.1305490802,0.1119491283,59162,51073,0.3323241118,0.2863944014,16168,15586,0.09081870524,0.08739927438,46288,49767,0.2600084258,0.2790709411,,,,,14352,18630,0.08061789075,0.1044686566,8694,9161,0.04883583766,0.0513707656,10120,14150,0.0568459486,0.07934683258
Hamburg-Altona,19,HH,187724,152696,151837,152052,0.8134069165,25516,22539,0.1680486311,0.1482321837,43458,38911,0.2862148225,0.2559058743,14656,13617,0.09652456252,0.08955488912,44897,46023,0.2956920909,0.3026793465,,,,,12409,16558,0.08172579806,0.1088969563,5221,5069,0.0343855582,0.03333727935,5680,9335,0.03740853679,0.06139347065
Hamburg-Eimsbüttel,20,HH,193842,161006,160051,160370,0.8306043066,27436,23845,0.1714203598,0.1486874104,47366,44920,0.2959431681,0.2801022635,11360,10862,0.07097737596,0.06773087236,47778,48004,0.2985173476,0.2993327929,,,,,12961,18159,0.08098043749,0.1132319012,5447,5657,0.03403290201,0.03527467731,7703,8923,0.04812840907,0.05564008231
Hamburg-Nord,21,HH,219939,185260,184010,184485,0.8423244627,43833,34406,0.2382098799,0.1864975472,56540,51491,0.3072659095,0.2791067024,9073,8734,0.04930710287,0.04734260238,47288,46482,0.2569860334,0.2519554435,,,,,15783,26165,0.08577251236,0.1418272488,6259,6807,0.03401445574,0.03689730872,5234,10400,0.0284441063,0.05637314687
Hamburg-Wandsbek,22,HH,233544,174021,172295,172780,0.7451315384,33081,29102,0.1920020894,0.1684338465,66594,59288,0.3865115064,0.3431415673,10669,8847,0.06192286485,0.05120384304,26597,32127,0.1543689602,0.1859416599,,,,,15714,19220,0.09120403958,0.1112397268,11483,11284,0.06664732,0.06530848478,8157,12912,0.04734321948,0.07473087163
Hamburg-Bergedorf - Harburg,23,HH,222142,158430,156760,157086,0.7131924625,26514,25441,0.1691375351,0.1619558713,61666,52658,0.3933784129,0.3352176515,10501,9874,0.06698775198,0.06285728836,24221,27885,0.1545100791,0.1775142279,,,,,13343,15670,0.08511737688,0.09975427473,12779,12637,0.08151952029,0.08044637969,7736,12921,0.04934932381,0.08225430656
Aurich - Emden,24,NI,191817,137717,135413,136051,0.7179603476,24013,24061,0.1773315708,0.1768527978,71495,58964,0.5279773729,0.4333962999,4849,4654,0.0358089696,0.03420776033,12649,17657,0.09341052927,0.129782214,,,,,11784,12099,0.087022664,0.08892988659,,11163,,0.08205011356,10623,7453,0.07844889339,0.05478092774
Unterems,25,NI,238469,175826,173746,174279,0.737311768,77143,52067,0.4439987108,0.2987565914,49440,59230,0.2845533135,0.3398573552,4358,4650,0.02508259183,0.02668135576,16434,18578,0.09458635019,0.1065991887,,,,,10763,17672,0.06194674985,0.1014006277,13584,14251,0.07818309486,0.08177118299,2024,7831,0.01164918905,0.04493369827
Friesland - Wilhelmshaven - Wittmund,26,NI,189043,134164,132976,132930,0.7097009675,29286,28535,0.2202352304,0.2146618521,60392,50448,0.4541571411,0.3795080117,3460,4122,0.02601973288,0.03100880162,13504,17020,0.1015521598,0.1280373129,,,,,9502,13874,0.07145650343,0.1043707214,10227,10951,0.07690861509,0.08238170466,6605,7980,0.04967061725,0.06003159558
Oldenburg - Ammerland,27,NI,228705,173735,172313,172537,0.7596467065,34291,32097,0.1990041378,0.1860296632,65757,55227,0.3816136914,0.3200878652,10180,8343,0.05907853731,0.04835484563,35115,40916,0.2037861334,0.2371433374,,,,,12858,17673,0.07462002287,0.1024302034,8571,8903,0.04974087852,0.05160052626,5541,9378,0.03215659875,0.05435355895
Delmenhorst - Wesermarsch - Oldenburg-Land,28,NI,226827,163721,161932,162106,0.7217879706,40396,36637,0.2494627374,0.2260064402,59361,55599,0.3665797989,0.3429792852,4931,5046,0.03045105353,0.03112778059,21200,23965,0.1309191512,0.147835367,,,,,17275,18569,0.106680582,0.1145485053,11996,12984,0.07408047823,0.08009573982,6773,9306,0.04182619865,0.05740688192
Cuxhaven - Stade II,29,NI,188599,140739,139671,139716,0.7462340734,42085,36586,0.3013152337,0.2618597727,51417,48858,0.3681293898,0.3496950958,2694,3672,0.01928818438,0.02628188611,15388,17553,0.1101731927,0.1256334278,,,,,9622,14052,0.06889046402,0.1005754531,10227,11000,0.07322207187,0.07873114031,8238,7995,0.05898146358,0.05722322425
Stade I - Rotenburg II,30,NI,198575,151824,150617,150876,0.7645675437,52063,39965,0.345664832,0.2648863968,47757,48300,0.3170757617,0.3201304382,4339,4301,0.02880816906,0.02850685331,19925,22092,0.1322891838,0.1464248787,,,,,12018,16719,0.07979178977,0.1108128529,10732,11000,0.07125357695,0.07290755322,3783,8499,0.0251166867,0.0563310268
Mittelems,31,NI,233253,180528,179203,179422,0.7739578912,72515,60728,0.4046528239,0.3384646253,52310,55482,0.2919035954,0.3092262933,3996,3969,0.02229873384,0.0221210331,22561,22512,0.1258963299,0.1254695634,,,,,17466,21075,0.09746488619,0.1174605121,8992,9233,0.0501777314,0.05145968722,1363,6423,0.007605899455,0.03579828561
Cloppenburg - Vechta,32,NI,223903,164806,163485,163651,0.7360598116,80133,62838,0.4901550601,0.3839756555,34126,40513,0.2087408631,0.2475573018,3542,3549,0.02166559623,0.02168639361,17366,18093,0.1062238126,0.1105584445,,,,,14397,19747,0.08806312506,0.1206653183,12673,12771,0.07751781509,0.07803801993,1248,6140,0.007633727865,0.03751886637
Diepholz - Nienburg I,33,NI,194370,146976,145486,145964,0.756166075,49112,36915,0.3375720001,0.2529048258,46453,48193,0.3192953274,0.330170453,4029,3920,0.02769338631,0.02685593708,19702,21138,0.135421965,0.1448165301,,,,,13671,17627,0.09396780446,0.1207626538,9683,10370,0.06655623221,0.07104491518,2836,7801,0.01949328458,0.05344468499
Osterholz - Verden,34,NI,197490,151252,149305,150135,0.7658716897,50250,36169,0.3365593918,0.2409098478,48548,49408,0.3251599076,0.3290904852,6372,5252,0.0426777402,0.03498184967,21922,24171,0.1468269649,0.1609951044,,,,,13754,15642,0.09212015673,0.1041862324,,11320,,0.07539880774,8459,8173,0.05665583872,0.05443767276
Rotenburg I - Heidekreis,35,NI,168883,125100,124156,124196,0.740749513,32716,31115,0.2635072006,0.2505314181,59127,43196,0.4762315152,0.3478050823,3010,3536,0.02424369342,0.02847112628,10035,16856,0.08082573537,0.1357209572,,,,,7353,12526,0.05922387964,0.1008567104,9181,9944,0.07394729212,0.08006699089,2734,7023,0.02202068366,0.0565477149
Harburg,36,NI,201717,161633,160509,160738,0.80128596,46710,39848,0.291011719,0.2479065311,49771,46764,0.3100823007,0.2909330712,4230,4684,0.02635366241,0.02914058903,24120,26776,0.1502719474,0.1665816422,,,,,14395,20425,0.08968344454,0.127070139,11007,11670,0.06857559389,0.07260262041,10276,10571,0.06402133214,0.06576540706
Lüchow-Dannenberg - Lüneburg,37,NI,182673,139177,137647,138100,0.7618914673,34293,29017,0.249137286,0.2101158581,38780,41254,0.2817351631,0.2987255612,5379,6329,0.03907822183,0.04582910934,34605,30578,0.2514039536,0.2214192614,,,,,9516,13255,0.06913336288,0.09598117306,8598,9148,0.06246412926,0.06624185373,6476,8519,0.04704788335,0.0616871832
Osnabrück-Land,38,NI,199830,151858,150580,150457,0.7599359456,54536,42864,0.3621729313,0.284892029,44707,48352,0.2968986585,0.3213675668,3596,3870,0.02388099349,0.02572163475,22011,22159,0.1461747908,0.1472779598,,,,,13003,16653,0.08635276929,0.1106827864,9416,10068,0.06253154469,0.06691612886,3311,6491,0.02198831186,0.04314189436
Stadt Osnabrück,39,NI,195467,149528,148194,148504,0.7649782316,43318,34461,0.2923060313,0.2320543554,44875,44924,0.3028125295,0.3025103701,6977,6224,0.04708017868,0.04191132899,34136,34542,0.2303467077,0.2325997953,,,,,10089,14627,0.06807967934,0.09849566342,6694,6902,0.04517051972,0.04647686258,2105,6824,0.01420435375,0.0459516242
Nienburg II - Schaumburg,40,NI,193862,142878,141638,141772,0.7370088001,43818,33969,0.3093661306,0.2396030246,50014,49543,0.3531114531,0.3494554637,3070,3841,0.02167497423,0.02709279689,18096,19968,0.1277623237,0.1408458652,,,,,8804,14210,0.0621584603,0.1002313574,11693,12433,0.08255552888,0.08769714753,6143,7808,0.04337112922,0.05507434472
Stadt Hannover I,41,NI,176770,128977,127711,127590,0.7296317248,27286,23410,0.2136542663,0.183478329,44570,39511,0.3489910814,0.3096716044,4660,5768,0.0364886345,0.04520730465,27860,30360,0.2181487891,0.2379496826,,,,,9573,13282,0.0749583043,0.1040990673,7539,7677,0.05903172006,0.06016929226,6223,7582,0.04872720439,0.05942471981
Stadt Hannover II,42,NI,190336,143730,142517,142443,0.7551382818,26196,22538,0.1838096508,0.1582246934,46930,40116,0.3292940491,0.2816284409,7390,8831,0.0518534631,0.06199672852,37779,41976,0.2650841654,0.2946862956,,,,,9543,13288,0.06696043279,0.09328643738,6475,6753,0.04543317639,0.04740843706,8204,8941,0.05756506241,0.06276896724
Hannover-Land I,43,NI,231250,174580,173109,172702,0.7549405405,55183,44530,0.3187760313,0.2578429897,58295,55462,0.336753144,0.3211427777,3981,4504,0.02299707121,0.02607960533,22487,26217,0.1299008139,0.151804843,,,,,12557,19551,0.07253811183,0.1132065639,12942,13293,0.07476214408,0.07697073572,7664,9145,0.04427268368,0.05295248463
Celle - Uelzen,44,NI,214434,158020,156618,156813,0.7369167203,51497,40986,0.3288063952,0.2613686365,50631,48329,0.323277018,0.3081951114,4358,4679,0.02782566499,0.0298380874,18770,21880,0.1198457393,0.1395292482,,,,,13413,17991,0.08564149715,0.1147290084,14496,14421,0.09255641114,0.09196303878,3453,8527,0.02204727426,0.05437686926
Gifhorn - Peine,45,NI,219966,166591,165026,164829,0.757348863,40280,37840,0.2440827506,0.2295712526,72114,58846,0.4369856871,0.3570124189,3619,4146,0.02192987772,0.02515334073,15761,21955,0.09550616267,0.1331986483,,,,,10739,16238,0.06507459431,0.09851421777,15346,16052,0.09299140741,0.09738577556,7167,9752,0.0434295202,0.05916434608
Hameln-Pyrmont - Holzminden,46,NI,184471,132892,131548,131609,0.7203950756,33575,29809,0.2552300301,0.2264966682,56893,48438,0.4324885213,0.3680447386,3676,3734,0.02794417247,0.02837191985,13259,17274,0.1007921063,0.1312524219,,,,,9102,13624,0.06919147383,0.1035187563,11208,11590,0.08520083924,0.08806388621,3835,7140,0.02915285675,0.05425160893
Hannover-Land II,47,NI,238323,181206,179547,179090,0.7603378608,45721,40612,0.2546464157,0.2267686638,73087,62023,0.4070633316,0.3463230778,4095,4994,0.02280739862,0.02788542074,22284,29201,0.1241123494,0.1630520967,,,,,11883,18319,0.06618322779,0.1022893517,13377,13850,0.07450416882,0.07733541795,9100,10091,0.05068310804,0.0563459713
Hildesheim,48,NI,215131,161683,160007,159771,0.7515560287,41282,36506,0.2580012124,0.2284895256,61804,55433,0.3862581012,0.3469528262,5481,5308,0.03425475135,0.03322254977,22973,26565,0.1435749686,0.1662692228,,,,,11507,15395,0.07191560369,0.09635666047,11386,12161,0.07115938678,0.07611518987,5574,8403,0.03483597593,0.0525940252
Salzgitter - Wolfenbüttel,49,NI,200922,147213,145384,145677,0.7326873115,39528,33445,0.2718868651,0.2295832561,56137,53385,0.3861291476,0.3664614181,5676,4446,0.0390414351,0.03051957413,15349,18133,0.1055755792,0.1244740076,,,,,9545,13465,0.06565371705,0.09243051408,14329,14413,0.09855967644,0.0989380616,4820,8390,0.03315357949,0.05759316845
Braunschweig,50,NI,187721,140808,139551,139284,0.7500918917,31272,25927,0.2240901176,0.1861448551,51223,42376,0.3670557717,0.3042416932,5352,6354,0.03835157039,0.045619023,28214,33397,0.2021769819,0.2397762844,,,,,9816,14045,0.07033987574,0.1008371385,8045,8238,0.05764917485,0.05914534333,5629,8947,0.0403365078,0.06423566239
Helmstedt - Wolfsburg,51,NI,179891,130671,129048,129204,0.7263898694,34367,31827,0.26631176,0.2463313829,54349,45414,0.4211533693,0.3514906659,3575,3496,0.02770287025,0.02705798582,11305,15481,0.08760306243,0.1198182719,,,,,9766,13073,0.07567726737,0.101181078,12339,12241,0.0956155849,0.09474164887,3347,7672,0.0259360858,0.0593789666
Goslar - Northeim - Osterode,52,NI,197508,143619,142061,142303,0.7271553557,47188,33602,0.3321671676,0.2361299481,52141,53883,0.367032472,0.3786497825,3833,4249,0.02698136716,0.02985882237,14955,17116,0.1052716791,0.1202785605,,,,,8826,14238,0.06212824069,0.1000541099,11231,11811,0.07905758794,0.08299895294,3887,7404,0.02736148556,0.05202982369
Göttingen,53,NI,214563,161872,159462,160300,0.7544264389,42955,34587,0.2693745218,0.2157641921,51386,51181,0.3222460524,0.3192825951,8057,8131,0.05052614416,0.05072364317,37058,32447,0.2323939246,0.2024142233,,,,,15260,15637,0.09569678042,0.09754834685,,9783,,0.06102932002,4746,8534,0.02976257666,0.05323767935
Bremen I,54,HB,245374,186426,184955,185257,0.759762648,39488,32435,0.2135005812,0.1750811035,55946,53524,0.3024843881,0.2889175578,15321,15765,0.0828363656,0.085097999,39704,44297,0.2146684329,0.2391110727,,,,,13900,18349,0.0751534157,0.09904618989,9118,9866,0.04929847801,0.05325574742,11478,11021,0.06205833851,0.05949032965
Bremen II - Bremerhaven,55,HB,214362,143714,141456,141972,0.6704266614,28384,23996,0.2006560344,0.1690192432,52274,49464,0.3695424726,0.3484067281,10523,9524,0.07439062323,0.0670836503,20700,23869,0.1463352562,0.1681247006,,,,,8453,12057,0.05975709761,0.08492519652,12510,12688,0.08843739396,0.08936973488,8612,10374,0.06088112205,0.07307074634
Prignitz - Ostprignitz-Ruppin - Havelland I,56,BB,172719,122505,120837,121009,0.7092734441,23433,19416,0.1939223913,0.1604508756,39853,41162,0.3298079231,0.3401565173,10846,9754,0.08975727633,0.08060557479,5623,7677,0.04653376035,0.0634415622,,,,,7354,9071,0.0608588429,0.07496136651,23798,23220,0.1969429893,0.1918865539,9930,10709,0.0821768167,0.08849754977
Uckermark - Barnim I,57,BB,182834,130987,129140,129229,0.7164258289,22990,19825,0.1780238501,0.1534098383,38241,40532,0.2961204894,0.3136447701,12314,11616,0.09535387951,0.08988694488,7526,9094,0.05827783801,0.07037120151,,,,,10964,10421,0.08490010841,0.08063979447,26166,25744,0.2026173145,0.1992122511,10939,11997,0.08470652006,0.09283519953
Oberhavel - Havelland II,58,BB,249330,195194,192718,193064,0.7828741026,39992,33373,0.2075156446,0.1728597771,50687,55184,0.2630112392,0.2858326772,15501,12665,0.0804335869,0.06560000829,19025,20660,0.09871937235,0.1070111466,,,,,17319,19799,0.08986705964,0.1025514855,30861,30793,0.1601355348,0.1594963328,19333,20590,0.1003175624,0.1066485725
Märkisch-Oderland - Barnim II,59,BB,230362,177068,174199,174481,0.7686510796,40811,26260,0.2342780383,0.1505034932,43111,48705,0.2474813288,0.2791421416,21698,18004,0.1245586944,0.1031860203,11741,13954,0.06739992767,0.07997432385,,,,,12271,14936,0.07044242504,0.08560244382,31925,31813,0.1832674126,0.1823293081,12642,20809,0.0725721732,0.1192622692
Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I,60,BB,202952,147652,145390,145586,0.7275217785,29239,22276,0.2011073664,0.1530092179,46642,48426,0.3208061077,0.3326281373,12672,12015,0.08715867666,0.08252853983,9474,12205,0.06516266593,0.08383361037,,,,,9266,11930,0.06373203109,0.08194469248,23936,23845,0.1646330559,0.1637863531,14161,14889,0.09740009629,0.102269449
Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II,61,BB,232797,190547,188842,188880,0.8185114069,26050,26288,0.1379460078,0.1391783143,64270,50964,0.3403374249,0.2698221093,14702,19100,0.07785344362,0.1011224058,35452,35863,0.1877336609,0.1898718763,,,,,16870,20219,0.08933394054,0.1070468022,17302,18657,0.09162156724,0.09877700127,14196,17789,0.07517395495,0.09418149089
Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I,62,BB,252738,194446,191506,191722,0.7693579913,38092,31302,0.198907606,0.1632676479,50673,54623,0.2646026756,0.2849073137,17421,14961,0.09096842919,0.07803486298,13523,16160,0.07061397554,0.08428870969,,,,,15080,18904,0.07874426911,0.09860109951,33713,34395,0.1760414817,0.1794003818,23004,21377,0.1201215628,0.1114999844
Frankfurt (Oder) - Oder-Spree,63,BB,191385,142432,140427,140591,0.7442171539,22876,19890,0.1629031454,0.1414742053,39349,41434,0.2802096463,0.2947130328,15682,13431,0.111673681,0.09553243095,8868,9995,0.06315024888,0.0710927442,,,,,9974,12431,0.07102622715,0.08841960012,30180,28336,0.214915935,0.2015491746,13498,15074,0.09612111631,0.107218812
Cottbus - Spree-Neiße,64,BB,171266,128333,126362,126549,0.7493197716,21071,17502,0.1667510802,0.1383021596,34883,36093,0.2760560928,0.2852096816,11156,9671,0.08828603536,0.07642099108,4662,6939,0.03689400294,0.05483251547,,,,,11400,13603,0.09021699562,0.1074919596,32529,30728,0.2574270746,0.2428150361,10661,12013,0.08436871844,0.09492765648
Elbe-Elster - Oberspreewald-Lausitz II,65,BB,162243,120377,118280,118464,0.7419549688,19130,17777,0.1617348664,0.1500624662,29998,33411,0.2536185323,0.2820350486,10631,8532,0.08987994589,0.07202188006,4110,4920,0.03474805546,0.04153160454,,,,,10597,11114,0.08959249239,0.09381753106,29559,29849,0.2499070003,0.2519668422,14255,12861,0.1205191072,0.1085646272
Altmark,66,ST,159998,108885,107582,107746,0.6805397567,23431,22567,0.2177966574,0.2094462903,29594,29540,0.2750831924,0.27416331,11218,10380,0.1042739492,0.09633768307,4674,5834,0.04344592962,0.05414586156,,,,,9125,9396,0.08481902177,0.08720509346,20875,20630,0.1940380361,0.1914688248,8665,9399,0.08054321355,0.08723293672
Börde - Jerichower Land,67,ST,215529,148519,146743,146959,0.6890905632,36641,32720,0.2496950451,0.2226471329,38520,39042,0.2624997445,0.265665934,12795,12426,0.08719325624,0.08455419539,6184,7268,0.04214170352,0.04945597071,,,,,11816,13588,0.08052172846,0.09246116264,29843,29603,0.2033691556,0.2014371355,10944,12312,0.07457936665,0.08377846882
